"term","package","description","title"
"scale_color_discrete","GGPLOT2","Customise the discrete colour scale",""
"as.factor","base","Coerce a vector to factor",""
"relevel","stats","Set a reference level for a factor variable",""
"sapply","base","Apply a function over a vector or list and simplify the result",""
"levels","base","Get levels of a factor ",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"droplevels","base","Drop Unused Levels from Factors",""
"ifelse","base","Return a or b depending on the value of test",""
"fct_relevel","forcats","Reorder factor levels by hand",""
"median","stats","Get median of a vector",""
"prop.table","base","Transform frequency table into table of proportions",""
"log","base","log (default base = e)",""
"bptest","lmtest","Breusch-Pagan Test for Homoscedasticity",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"vcovHC","sandwich","Heteroscedasticity-consistent estimation of the covariance matrix of the coefficient estimates",""
"vif","car","Calculate Variance Inflation Factor",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"sample_frac","dplyr","Sample a fraction of observations from a data frame",""
"resid","stats","Extracts model residuals from objects returned by modeling functions",""
"nobs","stats","Return the number of observations in a model object",""
"pchisq","stats","Cumulative distribution function for chi-squared distribution",""
"diag","base","Extract or construct diagonal elements or matrices",""
"vcov","stats","Extract the variance-covariance matrix from a fitted model",""
"hatvalues","stats","Extract leverage (hat) values from a fitted model",""
"max","base","Get maximum of a vector",""
"round","base","Rounds numbers",""
"expression","base","Used in plots to add symbols to axes",""
"theme_minimal","GGPLOT2","A minimalistic theme with no background annotations",""
"plot","graphics","Generic function from base R to produce a plot",""
"abline","graphics","Add a straight line to a plot (by intercept/slope, or horizontal/vertical)",""
"stat_smooth","GGPLOT2","Add a smoothed conditional mean (the stat underlying geom_smooth)",""
"resettest","lmtest","Ramsey’s RESET test for functional form of a regression model",""
"poly","stats","Compute orthogonal polynomials (used for polynomial regression)",""
"correlation_matrix","kim","Create a formatted correlation matrix of variables",""
"knit_hooks","knitr","Get or set knitr hook functions for customising output",""
"DescTools","DescTools","A package of miscellaneous functions for descriptive statistics and basic data analysis",""
